type,name,lon,lat
Park,Garratt Lane Old Burial Ground,-0.19147777803375626,51.455604359071536
Park,Fairy Hill Park,0.057045610759310965,51.438678460968056
Park,Gray's Inn Fields,-0.11409834803568972,51.52027486257103
Park,Lamorbey Park,0.10642998142435596,51.43724645134226
Park,Brunswick Park,-0.07572400322364171,51.58324051698301
Park,King George V Playing Fields,-0.1927062912656969,51.64089879622486
Park,Sturgess Park,-0.22672819889526696,51.57705965728628
Park,The Green Hackbridge,-0.15862044843407216,51.37814772083597
Park,Beddington Park,-0.14541993223450136,51.37308919874759
Park,Myatt's Fields,-0.10374702106642186,51.47368295985268
Park,St James's Square Gardens,-0.1352576491100903,51.50717116801892
Park,,-0.16205390729518876,51.40150469962305
Park,Island Gardens,-0.00811342729254958,51.487000066440885
Park,Eaton Square,-0.151732472512713,51.495869172573485
Park,West End Green,-0.19258585774385498,51.55222886657019
Park,Childs Hill Park,-0.2009311531041209,51.567338155070246
Park,Jubilee Gardens,-0.11818405350542256,51.50392040106775
Park,Soham Lane Open Space,-0.024516149541953167,51.66967350161853
Park,Enfield Island Village Play Area,-0.013198771005151686,51.66900673754474
Park,Bishop's Park,-0.21616728844036506,51.471369962416205
Park,Durnsford Road Recreation Ground,-0.1939739241881977,51.4381383979377
Park,Garratt Park,-0.1884220644891538,51.43582312619003
Park,Ridding Lane Open Space,-0.33222012409195556,51.55537900416313
Park,Maybank Open Space,-0.3214377238404037,51.55428630861687
Park,Bloomsbury Square Gardens,-0.12282409246260946,51.51891990467195
Park,Woodcroft Park,-0.24723465834491792,51.60848512944502
Park,Enfield Playing Fields,-0.06427416906484051,51.655462657392825
Park,,-0.03818000528618718,51.637081665797766
Park,,-0.03354078935134084,51.6510288877113
Park,,-0.05090974595929086,51.662043784879046
Park,London Fields,-0.06035348173241381,51.54076336382677
Park,Alexandra Park,-0.3629970215699242,51.56017187873425
Park,,-0.3927897236979502,51.55781991185333
Park,Uxbridge Common,-0.4720366778358818,51.553442724833914
Park,Whitings Hill Open Space,-0.22325538716536178,51.64396459041168
Park,Blythe Hill Fields,-0.03534873865356391,51.44708631756634
Park,Downham Fields,0.007598141613400167,51.42662805411067
Park,,0.0004867906989901989,51.423733652496324
Park,Downham Park,0.005216869104201289,51.42236024877917
Park,,0.01789208705687598,51.42561508910124
Park,Whitefoot Lane Playing Fields,0.0013592880224487802,51.43086215475603
Park,Falcon Park,-0.16489670390716613,51.468955292984226
Park,Shillington Park,-0.16610256328682543,51.46833933193946
Park,York Gardens,-0.1769076677379114,51.467504215940934
Park,Golders Hill Park,-0.18878339243520798,51.567239256525625
Park,William Parnell Park,-0.18906921013609476,51.47355080352938
Park,Grovelands Park,-0.11496457899897958,51.63276913998919
Park,Painters Lane Open Space,-0.031026244581799853,51.67828794201653
Park,Ponders End Park,-0.04353916575940559,51.64496511252539
Park,Manchester Gardens,-0.08319058607184916,51.57697941462646
Park,Old Courthouse Recreation Ground,-0.20270421895107268,51.65059970305125
Park,Clissold Park,-0.08843938288043171,51.561365776723115
Park,Greenwich Park,0.0009494453186999966,51.47721319998457
Park,Westfield Park,-0.18398426481041077,51.479775094221054
Park,Deptford Park,-0.03958054302137844,51.48651157419277
Park,Pepys Park,-0.03297642283118151,51.4878062684009
Park,Sidney Square,-0.05492780815623842,51.516560492590706
Park,St Francis Park,-0.0822077104285107,51.462132016618575
Park,Centre for Wildlife Gardening,-0.07520792607717615,51.462850049493404
Park,,-0.07102911679486616,51.46208983005182
Park,Talacre Town Green,-0.14815053387991114,51.54698744564702
Park,Harrington Square Gardens,-0.1387699393060264,51.533007215578046
Park,Latchmere Recreation Ground,-0.16177009574009082,51.471900541905356
Park,Fred Wells Gardens,-0.17551376810482122,51.472315436081566
Park,,-0.3586032098704459,51.476285161703494
Park,,-0.17288062483662173,51.47935443688434
Park,,-0.1742623992187814,51.47822661555294
Park,Mortlake Green,-0.26748643874959643,51.46900843810506
Park,Tangier Green,-0.27702433805589677,51.466132876618445
Park,Dinton Field,-0.29136061847600553,51.42208806152871
Park,Latchmere Rec,-0.2949041900464896,51.423825945369
Park,,-0.29723603321455727,51.41480677139658
Park,Holly Grove Shrubbery,-0.0710680593135744,51.47014258650039
Park,Terrace Field,-0.29995668817932514,51.4522666954297
Park,Terrace Gardens,-0.3010899604823102,51.453815573827114
Park,Jersey Gardens,-0.3430602772716953,51.48286886412939
Park,Hylands Park,0.20033458955442174,51.57100829461901
Park,Lodge Farm Park,0.19187661779616527,51.58131534584117
Park,Lampton Park,-0.37136246362607717,51.47368268247841
Park,Landseer Gardens,-0.12221040882861373,51.562695009560485
Park,Orchard Avenue Recreation Ground,-0.1597195013537753,51.38123034639563
Park,Inwood Park,-0.3555553275355117,51.467550103994135
Park,Butlers Green,-0.31820062962710843,51.556870865008996
Park,Central Park,0.22947205789619088,51.607469242302514
Park,Tyler's Common,0.2591141069936713,51.59218747848167
Park,Carshalton Park,-0.16113330869604559,51.36167040138683
Park,Figges Marsh,-0.16023864789753514,51.41413231714973
Park,Streatham Common,-0.12141683736643993,51.42210335406125
Park,Norwood Grove,-0.11443605781603158,51.419163915986665
